hotel_name,location,country,description,amenities,rating,contact,website_url,source_url,latitude,longitude
International Guest House,Nairobi,Kenya,"International Guest House is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5383781978,-1.2981906,36.8176428
Serena Hotels Sales Centre,Nairobi,Kenya,"Serena Hotels Sales Centre is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5383793250,-1.2944449,36.808923
Milimani Hostel,Nairobi,Kenya,"Milimani Hostel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5383793276,-1.2949439,36.8060915
Hadassah Hotel,Nairobi,Kenya,"Hadassah Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5383793277,-1.2946974,36.8060237
"Angaza Guest House, Nairobi",Nairobi,Kenya,"Angaza Guest House, Nairobi is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5383793283,-1.2964238,36.8068565
Exotic Apartments,Nairobi,Kenya,"Exotic Apartments is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5401775755,-1.2994626,36.799872
Lulu's Guest House,Nairobi,Kenya,"Lulu's Guest House is an accommodation option in Nairobi, Kenya.",internet_access,Not listed,+254 700 091 999,https://lulusguesthouse.com/,https://www.openstreetmap.org/node/5412285977,-1.3031063,36.772632
Eagle Nest Guest House,Nairobi,Kenya,"Eagle Nest Guest House is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5412286140,-1.2992706,36.7769599
Leon Villas Guest House,Nairobi,Kenya,"Leon Villas Guest House is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5412286531,-1.3008255,36.7840907
"Wida Resorts, Kilimani",Nairobi,Kenya,"Wida Resorts, Kilimani is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/5414007502,-1.2946282,36.7908289
